gene,importance,mean_non_msi_h,mean_msi_h,higher_in
ARHGAP30,0.0012061717278605815,5.953150812646529,6.334170814213446,MSI-H
F11,0.0011997288078318274,1.0836769106751385,0.4706489854473007,Non-MSI-H
RPS19P7,0.0011935116728705112,1.6003990769268697,1.5304755532780032,Non-MSI-H
SGK2,0.0011867024072327364,6.665458742135585,4.9411193631625885,Non-MSI-H
MMP28,0.0011859615486994077,5.088760640705048,5.425615328269523,MSI-H
LRMDA,0.0011797772129044188,4.797431637635529,4.005950873066004,Non-MSI-H
FCGR3B,0.0011794655534526361,3.633565850709994,4.512671589288034,MSI-H
LINC02154,0.0011758708743886475,1.4347309817565361,1.5963742911562278,MSI-H
ONECUT2,0.0011678917930030015,4.567551565006676,5.403908483021003,MSI-H
NOX1,0.0011641816424132272,8.635150726103186,6.9906019494584815,Non-MSI-H
GZMH,0.0011607733844404217,3.4563875231270926,4.449490775313258,MSI-H
MPP1,0.0011599686028728078,6.956155323684353,5.95090292670302,Non-MSI-H
DACH1,0.0011571594069303937,7.0409222076003015,6.021627887063775,Non-MSI-H
LINC01291,0.0011562707452537106,3.680290046796343,3.786780681750483,MSI-H
PDZD2,0.0011550465177601894,5.211061686137607,4.6211922265037915,Non-MSI-H
UCA1,0.001154946583720502,6.1189416721625065,4.6054756559079095,Non-MSI-H
MUC20,0.0011396939056761356,7.640025787247319,6.222615402329807,Non-MSI-H
IL18RAP,0.00113657112759875,3.0388308328666223,3.6292319514491083,MSI-H
LRIT2,0.0011317118685490925,3.0662437890159544,1.3704441150867068,Non-MSI-H
FABP1,0.0011270551533926422,8.94745115394024,6.740479705513196,Non-MSI-H
SHROOM4,0.0011255947034208894,6.875962769795476,5.634922403732303,Non-MSI-H
FOXP2,0.0011196484303928568,4.514120719171859,3.6301400437396127,Non-MSI-H
MTCO3P12,0.0011143369290119829,4.558149869106288,3.9002718895318935,Non-MSI-H
IL1B,0.0011142392465766904,5.980592137367665,6.837065823156846,MSI-H
BARX1,0.0011136744296055088,1.7365056066585671,1.760722107820497,MSI-H
GTSF1,0.001113604506194944,1.921945803715195,2.0736124131020897,MSI-H
TDGF1,0.0011114635826185966,6.780787852556543,4.567589548301161,Non-MSI-H
GMPR,0.0011102582027504209,5.502494166975134,6.071029892377426,MSI-H
SLA,0.0011038638106983655,5.625797740112897,6.161611000272149,MSI-H
TANC2,0.0011033690194888572,5.590022612009928,6.277750212531638,MSI-H
ORM2,0.0011001652964402176,1.9131160099019875,1.477156647112344,Non-MSI-H
MYBPC2,0.0010993988237482555,1.9709892392951396,1.804340520447457,Non-MSI-H
SMIM2-AS1,0.001097037122140523,4.728135377267442,3.309408564200703,Non-MSI-H
SOSTDC1,0.0010964655446569357,4.826774717077655,3.14242448185693,Non-MSI-H
CYP2W1,0.0010946541470076736,6.553001451276994,4.322637292871875,Non-MSI-H
C10orf82,0.0010939517169878228,3.296995329402442,0.7218559355520855,Non-MSI-H
COL6A6,0.0010939055111498918,1.6868785049210917,2.0609963869974983,MSI-H
TRIM72,0.001091277591549699,2.6951638535200275,3.977687886054828,MSI-H
CACNA1E,0.0010833238565358244,2.7691516969064396,2.7279775660877026,Non-MSI-H
ZNF334,0.0010782441516928593,3.125245877438412,2.517296732598808,Non-MSI-H
C3orf85,0.0010737524639485424,4.312491772023865,2.3925207162310054,Non-MSI-H
IGKV1D-17,0.0010718920487877263,1.7776240345485028,1.877318251058679,MSI-H
SP6,0.0010687772269340947,6.679936332548193,6.0188832867885385,Non-MSI-H
LAIR1,0.0010647099904495243,5.772081954934752,6.23163142829459,MSI-H
ESRRG,0.0010640980128460325,3.363431771549621,2.1559380598513127,Non-MSI-H
LOC100506691,0.0010627622618568748,3.9817024967012156,3.65760694641651,Non-MSI-H
NR1I2,0.001057971704982211,7.389473647157788,5.99032294961189,Non-MSI-H
ARHGAP10,0.0010522057896814403,5.254091185428931,5.8738474945344255,MSI-H
SLC30A2,0.0010493690514380197,4.1182596639560165,1.5143641601085847,Non-MSI-H
OSR1,0.001048837088145405,2.9901006637358463,3.934277135174305,MSI-H
SULT2B1,0.0010486301276265194,6.715470478208652,5.823588579992303,Non-MSI-H
GSPT2,0.0010409726233071997,6.13514898396129,4.651134954141801,Non-MSI-H
LRRC6,0.0010409043070627327,5.351497583889299,4.640176388991066,Non-MSI-H
IGFL4,0.0010402623480491708,4.155443228542602,2.587586532212918,Non-MSI-H
GUSBP5,0.001038820728878128,3.008622253840098,1.8060195947586486,Non-MSI-H
TACR2,0.001029983623766642,4.024696786096151,4.259858697333296,MSI-H
CYP2B6,0.0010277516309578761,6.746372837255772,4.346684694870124,Non-MSI-H
RPL10P3,0.0010273363377609106,3.214441204130842,2.8394036206951885,Non-MSI-H
AGBL4,0.0010224596802230384,1.7163494527080867,2.770020153344808,MSI-H
